code,name,market,sector,status,priceStatus,financialStatus,metricSource,action,lastClose,priceJudgement,financialError
7481,尾家産業,スタンダード（内国株式）,卸売業,自動チェック完了,月次価格取得済み,財務取得済み,irbank:2026/03,ランキング判定に利用,2630.0,,
7482,シモジマ,プライム（内国株式）,卸売業,自動チェック完了,月次価格取得済み,財務取得済み,irbank:2026/03,ランキング判定に利用,1336.0,,
7483,ドウシシャ,プライム（内国株式）,卸売業,自動チェック完了,月次価格取得済み,財務取得済み,irbank:2026/03,ランキング判定に利用,2862.0,,
7486,サンリン,スタンダード（内国株式）,卸売業,自動チェック完了,月次価格取得済み,財務取得済み,irbank:2026/03,ランキング判定に利用,763.0,,
7487,小津産業,スタンダード（内国株式）,卸売業,自動チェック完了,月次価格取得済み,財務取得済み,irbank:2026/02,ランキング判定に利用,1750.0,,
7490,日新商事,スタンダード（内国株式）,卸売業,自動チェック完了,月次価格取得済み,財務取得済み,irbank:2026/03,ランキング判定に利用,2184.0,,
7494,コナカ,スタンダード（内国株式）,小売業,自動チェック完了,月次価格取得済み,財務取得済み,irbank:2026/03,ランキング判定に利用,219.0,,
7500,西川計測,スタンダード（内国株式）,卸売業,自動チェック完了,月次価格取得済み,財務取得済み,irbank:2026/03,ランキング判定に利用,10490.0,,
7501,ティムコ,スタンダード（内国株式）,卸売業,自動チェック完了,月次価格取得済み,財務取得済み,irbank:2026/02,ランキング判定に利用,1509.0,,
7502,プラザホールディングス,スタンダード（内国株式）,サービス業,自動チェック完了,月次価格取得済み,財務取得済み,irbank:2026/03,ランキング判定に利用,1620.0,,
7504,高速,プライム（内国株式）,卸売業,自動チェック完了,月次価格取得済み,財務取得済み,irbank:2026/03,ランキング判定に利用,3315.0,,
7505,扶桑電通,スタンダード（内国株式）,卸売業,自動チェック完了,月次価格取得済み,財務取得済み,irbank:2026/03,ランキング判定に利用,2102.0,,
7506,ハウス　オブ　ローゼ,スタンダード（内国株式）,小売業,自動チェック完了,月次価格取得済み,財務取得済み,irbank:2026/03,ランキング判定に利用,1350.0,,
7508,Ｇ‐７ホールディングス,プライム（内国株式）,小売業,自動チェック完了,月次価格取得済み,財務取得済み,irbank:2026/03,ランキング判定に利用,1350.0,,
7509,アイエーグループ,スタンダード（内国株式）,小売業,自動チェック完了,月次価格取得済み,財務取得済み,irbank:2026/03,ランキング判定に利用,4575.0,,
7510,たけびし,プライム（内国株式）,卸売業,自動チェック完了,月次価格取得済み,財務取得済み,irbank:2026/03,ランキング判定に利用,2299.0,,
7512,イオン北海道,スタンダード（内国株式）,小売業,自動チェック完了,月次価格取得済み,財務取得済み,irbank:2026/02,ランキング判定に利用,828.0,,
7513,コジマ,プライム（内国株式）,小売業,自動チェック完了,月次価格取得済み,財務取得済み,irbank:2026/02,ランキング判定に利用,1275.0,,
7514,ヒマラヤ,スタンダード（内国株式）,小売業,自動チェック完了,月次価格取得済み,財務取得済み,irbank:2026/02,ランキング判定に利用,854.0,,
7515,マルヨシセンター,スタンダード（内国株式）,小売業,自動チェック完了,月次価格取得済み,財務取得済み,irbank:2026/02,ランキング判定に利用,4505.0,,
7516,コーナン商事,プライム（内国株式）,小売業,自動チェック完了,月次価格取得済み,財務取得済み,irbank:2026/02,ランキング判定に利用,4045.0,,
7520,エコス,プライム（内国株式）,小売業,自動チェック完了,月次価格取得済み,財務取得済み,irbank:2026/02,ランキング判定に利用,2325.0,,
7521,ムサシ,スタンダード（内国株式）,卸売業,自動チェック完了,月次価格取得済み,財務取得済み,irbank:2026/03,ランキング判定に利用,2635.0,,
7522,ワタミ,プライム（内国株式）,小売業,自動チェック完了,月次価格取得済み,財務取得済み,irbank:2026/03,ランキング判定に利用,918.0,,
7523,アールビバン,スタンダード（内国株式）,小売業,自動チェック完了,月次価格取得済み,財務取得済み,irbank:2026/03,ランキング判定に利用,1650.0,,
7524,マルシェ,スタンダード（内国株式）,小売業,自動チェック完了,月次価格取得済み,財務取得済み,irbank:2026/03,ランキング判定に利用,179.0,,
7525,リックス,プライム（内国株式）,卸売業,自動チェック完了,月次価格取得済み,財務取得済み,irbank:2026/03,ランキング判定に利用,3515.0,,
7527,システムソフト,スタンダード（内国株式）,情報・通信業,自動チェック完了,月次価格取得済み,財務取得済み,irbank:2026/03,ランキング判定に利用,47.0,,
7531,清和中央ホールディングス,スタンダード（内国株式）,卸売業,自動チェック完了,月次価格取得済み,財務取得済み,irbank:2026/03,ランキング判定に利用,1271.0,,
7532,パン・パシフィック・インターナショナルホールディングス,プライム（内国株式）,小売業,自動チェック完了,月次価格取得済み,財務取得済み,irbank:2026/03,ランキング判定に利用,823.0,,
7537,丸文,プライム（内国株式）,卸売業,自動チェック完了,月次価格取得済み,財務取得済み,irbank:2026/03,ランキング判定に利用,1652.0,,
7538,大水,スタンダード（内国株式）,卸売業,自動チェック完了,月次価格取得済み,財務取得済み,irbank:2026/03,ランキング判定に利用,348.0,,
7539,アイナボホールディングス,スタンダード（内国株式）,卸売業,自動チェック完了,月次価格取得済み,財務取得済み,irbank:2026/03,ランキング判定に利用,813.0,,
7544,スリーエフ,スタンダード（内国株式）,小売業,自動チェック完了,月次価格取得済み,財務取得済み,irbank:2026/02,ランキング判定に利用,553.0,,
7545,西松屋チェーン,プライム（内国株式）,小売業,自動チェック完了,月次価格取得済み,財務取得済み,irbank:2026/05,ランキング判定に利用,1891.0,,
7550,ゼンショーホールディングス,プライム（内国株式）,小売業,自動チェック完了,月次価格取得済み,財務取得済み,irbank:2026/03,ランキング判定に利用,7931.0,,
7551,ウェッズ,スタンダード（内国株式）,輸送用機器,自動チェック完了,月次価格取得済み,財務取得済み,irbank:2026/03,ランキング判定に利用,672.0,,
7552,ハピネット,プライム（内国株式）,卸売業,自動チェック完了,月次価格取得済み,財務取得済み,irbank:2026/03,ランキング判定に利用,2903.0,,
7554,幸楽苑,プライム（内国株式）,小売業,自動チェック完了,月次価格取得済み,財務取得済み,irbank:2026/03,ランキング判定に利用,1088.0,,
7555,大田花き,スタンダード（内国株式）,卸売業,自動チェック完了,月次価格取得済み,財務取得済み,irbank:2026/03,ランキング判定に利用,750.0,,
7561,ハークスレイ,スタンダード（内国株式）,小売業,自動チェック完了,月次価格取得済み,財務取得済み,irbank:2026/03,ランキング判定に利用,643.0,,
7562,安楽亭,スタンダード（内国株式）,小売業,自動チェック完了,月次価格取得済み,財務取得済み,irbank:2026/03,ランキング判定に利用,3720.0,,
7564,ワークマン,スタンダード（内国株式）,小売業,自動チェック完了,月次価格取得済み,財務取得済み,irbank:2026/03,ランキング判定に利用,6740.0,,
7565,萬世電機,スタンダード（内国株式）,卸売業,自動チェック完了,月次価格取得済み,財務取得済み,irbank:2026/03,ランキング判定に利用,5960.0,,
7567,栄電子,スタンダード（内国株式）,卸売業,自動チェック完了,月次価格取得済み,財務取得済み,confirmed,ランキング判定に利用,523.0,,
7570,橋本総業ホールディングス,スタンダード（内国株式）,卸売業,自動チェック完了,月次価格取得済み,財務取得済み,irbank:2026/03,ランキング判定に利用,1389.0,,
7571,ヤマノホールディングス,スタンダード（内国株式）,小売業,自動チェック完了,月次価格取得済み,財務取得済み,irbank:2026/03,ランキング判定に利用,80.0,,
7575,日本ライフライン,プライム（内国株式）,卸売業,自動チェック完了,月次価格取得済み,財務取得済み,irbank:2026/03,ランキング判定に利用,1281.0,,
7578,ニチリョク,スタンダード（内国株式）,小売業,自動チェック完了,月次価格取得済み,財務取得済み,irbank:2026/03,ランキング判定に利用,75.0,,
7581,サイゼリヤ,プライム（内国株式）,小売業,自動チェック完了,月次価格取得済み,財務取得済み,irbank:2026/02,ランキング判定に利用,5340.0,,
7585,かんなん丸,スタンダード（内国株式）,小売業,自動チェック完了,月次価格取得済み,財務取得済み,irbank:2026/03,ランキング判定に利用,420.0,,
