code,name,market,sector
220A,Ｆａｂｅｒ　Ｃｏｍｐａｎｙ,スタンダード（内国株式）,情報・通信業
2211,不二家,プライム（内国株式）,食料品
2212,山崎製パン,プライム（内国株式）,食料品
2215,第一屋製パン,スタンダード（内国株式）,食料品
2216,カンロ,スタンダード（内国株式）,食料品
2217,モロゾフ,プライム（内国株式）,食料品
2220,亀田製菓,プライム（内国株式）,食料品
2221,岩塚製菓,スタンダード（内国株式）,食料品
2222,寿スピリッツ,プライム（内国株式）,食料品
2224,コモ,スタンダード（内国株式）,食料品
2226,湖池屋,スタンダード（内国株式）,食料品
2229,カルビー,プライム（内国株式）,食料品
2264,森永乳業,プライム（内国株式）,食料品
2266,六甲バター,プライム（内国株式）,食料品
2267,ヤクルト本社,プライム（内国株式）,食料品
2268,Ｂ－Ｒ　サーティワン　アイスクリーム,スタンダード（内国株式）,食料品
2269,明治ホールディングス,プライム（内国株式）,食料品
2270,雪印メグミルク,プライム（内国株式）,食料品
2281,プリマハム,プライム（内国株式）,食料品
2282,日本ハム,プライム（内国株式）,食料品
2286,林兼産業,スタンダード（内国株式）,食料品
2288,丸大食品,プライム（内国株式）,食料品
228A,オプロ,グロース（内国株式）,情報・通信業
2291,福留ハム,スタンダード（内国株式）,食料品
2292,Ｓ　Ｆｏｏｄｓ,プライム（内国株式）,食料品
2293,滝沢ハム,スタンダード（内国株式）,食料品
2294,柿安本店,プライム（内国株式）,食料品
2296,伊藤ハム米久ホールディングス,プライム（内国株式）,食料品
2300,きょくとう,スタンダード（内国株式）,サービス業
2301,学情,プライム（内国株式）,サービス業
2303,ドーン,スタンダード（内国株式）,情報・通信業
2304,ＣＳＳホールディングス,スタンダード（内国株式）,サービス業
2305,スタジオアリス,スタンダード（内国株式）,サービス業
2307,クロスキャット,プライム（内国株式）,情報・通信業
2311,エプコ,スタンダード（内国株式）,サービス業
2315,ＣＡＩＣＡ　ＤＩＧＩＴＡＬ,スタンダード（内国株式）,情報・通信業
2317,システナ,プライム（内国株式）,情報・通信業
2321,ソフトフロントホールディングス,グロース（内国株式）,情報・通信業
2323,ｆｏｎｆｕｎ,スタンダード（内国株式）,情報・通信業
2325,ＮＪＳ,プライム（内国株式）,サービス業
2326,デジタルアーツ,プライム（内国株式）,情報・通信業
2327,日鉄ソリューションズ,プライム（内国株式）,情報・通信業
2329,東北新社,スタンダード（内国株式）,情報・通信業
2330,フォーサイド,スタンダード（内国株式）,情報・通信業
2331,ＡＬＳＯＫ,プライム（内国株式）,サービス業
2332,クエスト,スタンダード（内国株式）,情報・通信業
2334,イオレ,グロース（内国株式）,サービス業
2335,キューブシステム,プライム（内国株式）,情報・通信業
2337,いちご,プライム（内国株式）,不動産業
2338,クオンタムソリューションズ,スタンダード（内国株式）,情報・通信業
2340,極楽湯ホールディングス,スタンダード（内国株式）,サービス業
2341,アルバイトタイムス,スタンダード（内国株式）,サービス業
2342,トランスジェニックグループ,スタンダード（内国株式）,サービス業
2345,ＨＯＤＬ１,スタンダード（内国株式）,情報・通信業
2349,エヌアイデイ,スタンダード（内国株式）,情報・通信業
2351,ＡＳＪ,スタンダード（内国株式）,情報・通信業
2353,日本駐車場開発,プライム（内国株式）,不動産業
2354,ＹＥ　ＤＩＧＩＴＡＬ,スタンダード（内国株式）,情報・通信業
2359,コア,プライム（内国株式）,情報・通信業
2370,メディネット,グロース（内国株式）,サービス業
2371,カカクコム,プライム（内国株式）,サービス業
2373,ケア２１,スタンダード（内国株式）,サービス業
