code,name,market,sector,price,bps,eps,cash,securities,investmentSecurities,interestDebt,netAssets,rentalBook,rentalMarket,shares,treasuryShares,period,sourceUrl,status,error,fetchedAt
4668,明光ネットワークジャパン,プライム（内国株式）,サービス業,684,504.77,39.84,8926,0,0,0,12585,0,0,24932147,0,2026/02,https://irbank.net/4668/results,取得成功,,2026-06-27T01:00:24.153Z
4671,ファルコホールディングス,スタンダード（内国株式）,サービス業,2542,2577.55,201.79,8267,0,0,1023,25869,0,0,10036275,0,2026/03,https://irbank.net/4671/results,取得成功,,2026-06-27T01:00:24.191Z
4673,川崎地質,スタンダード（内国株式）,サービス業,4425,6444.22,848.15,1066.84,0,0,3421.89,5248.28,0,0,814417,0,2026/02,https://irbank.net/4673/results,取得成功,,2026-06-27T01:00:25.656Z
4674,クレスコ,プライム（内国株式）,情報・通信業,1445,828.81,136.9,15263.48,0,0,1360.27,33479.38,0,0,40394517,0,2026/03,https://irbank.net/4674/results,取得成功,,2026-06-27T01:00:24.230Z
4676,フジ・メディア・ホールディングス,プライム（内国株式）,情報・通信業,3843,3838.08,183.23,128936,0,0,615134,561467,0,0,146288509,0,2026/03,https://irbank.net/4676/results,取得成功,,2026-06-27T01:00:24.241Z
4678,秀英予備校,スタンダード（内国株式）,サービス業,303,709.21,67.07,1463.92,0,0,1058.68,4758.55,0,0,6709649,0,2026/03,https://irbank.net/4678/results,取得成功,,2026-06-27T01:00:24.252Z
4679,田谷,スタンダード（内国株式）,サービス業,243,107.43,1.34,507.93,0,0,374.55,798.94,0,0,7436843,0,2026/03,https://irbank.net/4679/results,取得成功,,2026-06-27T01:00:24.250Z
4680,ラウンドワン,プライム（内国株式）,サービス業,1138,314.35,69.46,54950,0,0,187994,82635,0,0,262875775,0,2026/03,https://irbank.net/4680/results,取得成功,,2026-06-27T01:00:24.345Z
4681,リゾートトラスト,プライム（内国株式）,サービス業,1735,754.67,98.89,32887,0,0,6144,166683,0,0,220868724,0,2026/03,https://irbank.net/4681/results,取得成功,,2026-06-27T01:00:24.300Z
4684,オービック,プライム（内国株式）,情報・通信業,3687,1190.79,189.23,207385,0,0,0,516011,0,0,433335013,0,2026/03,https://irbank.net/4684/results,取得成功,,2026-06-27T01:00:24.341Z
4685,菱友システムズ,スタンダード（内国株式）,情報・通信業,2650,1742.51,282.25,3305,0,0,0,23968,0,0,13754871,0,2026/03,https://irbank.net/4685/results,取得成功,,2026-06-27T01:00:24.344Z
4686,ジャストシステム,プライム（内国株式）,情報・通信業,3610,1848.02,234.99,64901,0,0,0,118688,0,0,64224413,0,2026/03,https://irbank.net/4686/results,取得成功,,2026-06-27T01:00:24.354Z
4687,ＴＤＣソフト,プライム（内国株式）,情報・通信業,864,495.37,82.75,13171.43,0,0,298,23436.59,0,0,47311282,0,2026/03,https://irbank.net/4687/results,取得成功,,2026-06-27T01:00:24.351Z
4689,ＬＩＮＥヤフー,プライム（内国株式）,情報・通信業,410,,,,0,0,,,0,0,,0,,https://irbank.net/4689/results,取得失敗,BPS、純資産、株数推定が不足,2026-06-27T01:43:44.364Z
4691,ワシントンホテル,スタンダード（内国株式）,サービス業,2774,1015.82,191.75,6426.3,0,0,13613,12184.36,0,0,11994605,0,2026/03,https://irbank.net/4691/results,取得成功,,2026-06-27T01:00:24.456Z
4694,ビー・エム・エル,プライム（内国株式）,サービス業,3645,3405.36,186.75,64602,0,0,0,132129,0,0,38800303,0,2026/03,https://irbank.net/4694/results,取得成功,,2026-06-27T01:00:24.469Z
469A,フィットクルー,グロース（内国株式）,サービス業,1534,779.89,139.27,570.43,0,0,448.41,599.43,0,0,768608,0,2026/02,https://irbank.net/469A/results,取得成功,,2026-06-27T01:00:24.645Z
4704,トレンドマイクロ,プライム（内国株式）,情報・通信業,5590,855.44,282.04,230458,0,0,0,131126,0,0,153284859,0,2026/03,https://irbank.net/4704/results,取得成功,,2026-06-27T01:00:24.471Z
4705,クリップコーポレーション,スタンダード（内国株式）,サービス業,767,1315.75,21.38,1979.95,0,0,200.81,4739.56,0,0,3602174,0,2026/03,https://irbank.net/4705/results,取得成功,,2026-06-27T01:00:24.490Z
4707,キタック,スタンダード（内国株式）,サービス業,333,663.26,30.35,155.77,0,0,1893.4,3532.52,0,0,5325996,0,2026/04,https://irbank.net/4707/results,取得成功,,2026-06-27T01:00:24.521Z
4709,ＩＤホールディングス,プライム（内国株式）,情報・通信業,1059,446.89,88.28,6046.01,0,0,1000,15253.02,0,0,34131486,0,2026/03,https://irbank.net/4709/results,取得成功,,2026-06-27T01:00:24.594Z
4712,ＫｅｙＨｏｌｄｅｒ,スタンダード（内国株式）,サービス業,805,1208.01,53.14,5096.93,0,0,4330.6,22750.75,0,0,18833246,0,2026/03,https://irbank.net/4712/results,取得成功,,2026-06-27T01:00:24.593Z
4714,リソー教育グループ,プライム（内国株式）,サービス業,197,71.58,9.98,8081.13,0,0,0,12265.78,0,0,171357642,0,2026/02,https://irbank.net/4714/results,取得成功,,2026-06-27T01:00:24.588Z
4716,日本オラクル,スタンダード（内国株式）,情報・通信業,8088,1597.24,495.97,84968,0,0,0,204728,0,0,128176104,0,2026/05,https://irbank.net/4716/results,取得成功,,2026-06-27T01:00:24.590Z
4718,早稲田アカデミー,プライム（内国株式）,サービス業,2292,896.32,148.97,9644.59,0,0,0,16557.62,0,0,18472889,0,2026/03,https://irbank.net/4718/results,取得成功,,2026-06-27T01:00:24.680Z
4719,アルファシステムズ,プライム（内国株式）,情報・通信業,3280,3229.29,260,20074.24,0,0,0,45334.78,0,0,14038621,0,2026/03,https://irbank.net/4719/results,取得成功,,2026-06-27T01:00:26.215Z
471A,ＮＳグループ,プライム（内国株式）,その他金融業,1470,,,,0,0,,,0,0,,0,,https://irbank.net/471A/results,取得失敗,BPS、純資産、株数推定が不足,2026-06-27T01:43:44.386Z
4720,城南進学研究社,スタンダード（内国株式）,サービス業,230,173.26,0.5,1762.29,0,0,1066.82,1393.39,0,0,8042191,0,2026/03,https://irbank.net/4720/results,取得成功,,2026-06-27T01:00:24.707Z
4722,フューチャー,プライム（内国株式）,情報・通信業,1500,714.49,133.07,32800,0,0,14999,62755,0,0,87831880,0,2026/03,https://irbank.net/4722/results,取得成功,,2026-06-27T01:00:24.736Z
4725,ＣＡＣ　Ｈｏｌｄｉｎｇｓ,プライム（内国株式）,情報・通信業,1774,1984.82,191.29,11759,0,0,2723,35812,0,0,18042946,0,2026/03,https://irbank.net/4725/results,取得成功,,2026-06-27T01:00:24.757Z
4728,トーセ,スタンダード（内国株式）,情報・通信業,640,836.82,104.23,1361.92,0,0,0,6161.89,0,0,7363459,0,2026/02,https://irbank.net/4728/results,取得成功,,2026-06-27T01:00:24.828Z
472A,ミラティブ,グロース（内国株式）,情報・通信業,392,222.62,56.82,3392.66,0,0,644.72,3545.69,0,0,15927095,0,2026/03,https://irbank.net/472A/results,取得成功,,2026-06-27T01:00:24.838Z
4732,ユー・エス・エス,プライム（内国株式）,サービス業,1927.5,446,89.6,88933,0,0,2017,210966,0,0,473017937,0,2026/03,https://irbank.net/4732/results,取得成功,,2026-06-27T01:00:25.111Z
4733,オービックビジネスコンサルタント,プライム（内国株式）,情報・通信業,5827,2253.05,257.39,116252.59,0,0,0,169376.93,0,0,75176729,0,2026/03,https://irbank.net/4733/results,取得成功,,2026-06-27T01:00:25.093Z
4735,京進,スタンダード（内国株式）,サービス業,314,508.39,26.02,4263.02,0,0,7878.24,3907.33,0,0,7685694,0,2026/02,https://irbank.net/4735/results,取得成功,,2026-06-27T01:00:24.882Z
4736,日本ラッド,スタンダード（内国株式）,情報・通信業,607,667.85,31.23,1962.6,0,0,21,3528.21,0,0,5282938,0,2026/03,https://irbank.net/4736/results,取得成功,,2026-06-27T01:00:24.971Z
4743,アイティフォー,プライム（内国株式）,情報・通信業,1592,780.48,128.48,8909.46,0,0,238.78,21146.08,0,0,27093686,0,2026/03,https://irbank.net/4743/results,取得成功,,2026-06-27T01:00:24.950Z
4746,東計電算,スタンダード（内国株式）,情報・通信業,4440,2833.43,305.92,2826,0,0,0,50516.51,0,0,17828748,0,2026/03,https://irbank.net/4746/results,取得成功,,2026-06-27T01:00:24.997Z
4750,ダイサン,スタンダード（内国株式）,サービス業,539,892.93,40.86,2689.34,0,0,2308.73,5726,0,0,6412597,0,2026/04,https://irbank.net/4750/results,取得成功,,2026-06-27T01:00:25.056Z
4751,サイバーエージェント,プライム（内国株式）,サービス業,1299.5,383.93,62.52,226151,0,0,53018,275681,0,0,718050165,0,2026/03,https://irbank.net/4751/results,取得成功,,2026-06-27T01:00:25.090Z
4752,昭和システムエンジニアリング,スタンダード（内国株式）,情報・通信業,1483,1379.3,168.65,4478.89,0,0,10,5904.98,0,0,4281143,0,2026/03,https://irbank.net/4752/results,取得成功,,2026-06-27T01:00:25.334Z
