priority,code,name,source,market,sector,action,signal,strategy,score,winRate,averageReturn,maxDrawdown,periodReturn,reason,nextCheck,caution
180.5,8416,高知銀行,自動買い候補予備軍,スタンダード（内国株式）,銀行業,最優先で通常候補前確認,今買い候補,財務+価格自動判定,142.05,66.7,6.4,-6.6,0,今買い候補。自動取得財務と月次シグナルで条件内です,有報、決算短信、利益継続性、負債、出来高,自動取得財務で判定。原資料チェック推奨
180,7214,ＧＭＢ,自動買い候補予備軍,スタンダード（内国株式）,輸送用機器,最優先で通常候補前確認,今買い候補,財務+価格自動判定,130.39,100,6.7,-0.5,0,今買い候補。自動取得財務と月次シグナルで条件内です,有報、決算短信、利益継続性、負債、出来高,自動取得財務で判定。原資料チェック推奨
179.9,1798,守谷商会,自動買い候補予備軍,スタンダード（内国株式）,建設業,最優先で通常候補前確認,今買い候補,財務+価格自動判定,130.41,100,7.2,-1.2,0,今買い候補。自動取得財務と月次シグナルで条件内です,有報、決算短信、利益継続性、負債、出来高,自動取得財務で判定。原資料チェック推奨
178.8,1718,美樹工業,自動買い候補予備軍,スタンダード（内国株式）,建設業,最優先で通常候補前確認,今買い候補,財務+価格自動判定,125.81,100,10.5,-0.6,0,今買い候補。自動取得財務と月次シグナルで条件内です,有報、決算短信、利益継続性、負債、出来高,自動取得財務で判定。原資料チェック推奨
178.8,8891,ＡＭＧホールディングス,自動買い候補予備軍,スタンダード（内国株式）,不動産業,最優先で通常候補前確認,今買い候補,財務+価格自動判定,123.6,100,14,-1.7,0,今買い候補。自動取得財務と月次シグナルで条件内です,有報、決算短信、利益継続性、負債、出来高,自動取得財務で判定。原資料チェック推奨
178.7,7208,カネミツ,自動買い候補予備軍,スタンダード（内国株式）,輸送用機器,最優先で通常候補前確認,今買い候補,財務+価格自動判定,134.37,100,5.7,-6,0,今買い候補。自動取得財務と月次シグナルで条件内です,有報、決算短信、利益継続性、負債、出来高,自動取得財務で判定。原資料チェック推奨
178.5,5660,神鋼鋼線工業,自動買い候補予備軍,スタンダード（内国株式）,鉄鋼,最優先で通常候補前確認,今買い候補,財務+価格自動判定,120.24,100,15.8,0,0,今買い候補。自動取得財務と月次シグナルで条件内です,有報、決算短信、利益継続性、負債、出来高,自動取得財務で判定。原資料チェック推奨
178.2,9896,ＪＫホールディングス,自動買い候補予備軍,スタンダード（内国株式）,卸売業,最優先で通常候補前確認,今買い候補,財務+価格自動判定,122.73,100,12.7,0,0,今買い候補。自動取得財務と月次シグナルで条件内です,有報、決算短信、利益継続性、負債、出来高,自動取得財務で判定。原資料チェック推奨
178.1,7986,日本アイ・エス・ケイ,自動買い候補予備軍,スタンダード（内国株式）,その他製品,最優先で通常候補前確認,今買い候補,財務+価格自動判定,131.78,100,4.3,-1.9,0,今買い候補。自動取得財務と月次シグナルで条件内です,有報、決算短信、利益継続性、負債、出来高,自動取得財務で判定。原資料チェック推奨
177.8,9312,ケイヒン,自動買い候補予備軍,スタンダード（内国株式）,倉庫・運輸関連業,最優先で通常候補前確認,今買い候補,財務+価格自動判定,118.68,100,17.2,-0.4,0,今買い候補。自動取得財務と月次シグナルで条件内です,有報、決算短信、利益継続性、負債、出来高,自動取得財務で判定。原資料チェック推奨
177.6,7175,今村証券,自動買い候補予備軍,スタンダード（内国株式）,証券、商品先物取引業,最優先で通常候補前確認,今買い候補,財務+価格自動判定,132.95,100,4.5,-4.3,0,今買い候補。自動取得財務と月次シグナルで条件内です,有報、決算短信、利益継続性、負債、出来高,自動取得財務で判定。原資料チェック推奨
177.1,7434,オータケ,自動買い候補予備軍,スタンダード（内国株式）,卸売業,最優先で通常候補前確認,今買い候補,財務+価格自動判定,132.25,100,1.2,-0.3,0,今買い候補。自動取得財務と月次シグナルで条件内です,有報、決算短信、利益継続性、負債、出来高,自動取得財務で判定。原資料チェック推奨
