rank,code,name,market,sector,status,normalCandidate,autoBuyScore,price,buyLine,targetPrice,sellGuidePrice,buyRatio,upside,pbr,per,netCashRatio,winRate,averageReturn,maxDrawdown,signal,judgement,metricSource,action,comment,caution
0,8783,ａｂｃ,スタンダード（内国株式）,その他金融業,自動今買い候補,通常候補前,103.07,83,161.2,456,201.5,0.51,449.4,0.33,4.37,-114.55,100,1,0,今買い候補,中立,irbank:2026/02,自動取得財務でランキング反映。原資料チェックで精度を上げる,今買い候補。自動取得財務と月次シグナルで条件内です,自動取得財務で判定。原資料チェック推奨
0,8281,ゼビオホールディングス,プライム（内国株式）,小売業,自動今買い候補,通常候補前,102.87,1066,1812.4,4353.91,2265.5,0.59,308.43,0.37,5.88,29.16,50,-1.3,-6.9,今買い候補,見送り寄り,irbank:2026/03,自動取得財務でランキング反映。原資料チェックで精度を上げる,今買い候補。自動取得財務と月次シグナルで条件内です,自動取得財務で判定。原資料チェック推奨
0,7254,ユニバンス,スタンダード（内国株式）,輸送用機器,自動今買い候補,通常候補前,102.48,723,897.06,2300.16,1121.33,0.81,218.14,0.52,7.54,73.22,50,7.1,-5.8,今買い候補,中立,irbank:2026/03,自動取得財務でランキング反映。原資料チェックで精度を上げる,今買い候補。自動取得財務と月次シグナルで条件内です,自動取得財務で判定。原資料チェック推奨
0,9537,北陸瓦斯,スタンダード（内国株式）,電気・ガス業,自動買い場近い,通常候補前,102.18,4000,3922.5,17564.05,4903.13,1.02,339.1,0.35,10.2,26.12,100,14.2,-2.2,買い場近い,良さそう,irbank:2026/03,自動取得財務でランキング反映。原資料チェックで精度を上げる,買い場近い。自動取得財務と月次シグナルで条件内です,自動取得財務で判定。原資料チェック推奨
0,9130,共栄タンカー,スタンダード（内国株式）,海運業,自動今買い候補,通常候補前,102.1,1433,1699.9,5219.93,2124.88,0.84,264.27,0.42,8.43,-348.63,100,20.1,-0.7,今買い候補,中立,irbank:2026/03,自動取得財務でランキング反映。原資料チェックで精度を上げる,今買い候補。自動取得財務と月次シグナルで条件内です,自動取得財務で判定。原資料チェック推奨
0,7670,オーウエル,スタンダード（内国株式）,卸売業,自動今買い候補,通常候補前,101.83,1002,1440.97,3816.96,1801.22,0.7,280.93,0.45,6.3,1.29,50,3.2,-6.5,今買い候補,中立,irbank:2026/03,自動取得財務でランキング反映。原資料チェックで精度を上げる,今買い候補。自動取得財務と月次シグナルで条件内です,自動取得財務で判定。原資料チェック推奨
0,1718,美樹工業,スタンダード（内国株式）,建設業,自動今買い候補,通常候補前,101.81,7090,10245.2,24936.57,12806.5,0.69,251.71,0.44,6.92,-90.69,100,10.5,-0.6,今買い候補,中立,irbank:2026/03,自動取得財務でランキング反映。原資料チェックで精度を上げる,今買い候補。自動取得財務と月次シグナルで条件内です,自動取得財務で判定。原資料チェック推奨
0,6335,東京機械製作所,スタンダード（内国株式）,機械,自動今買い候補,通常候補前,101.52,683,693.7,1774.19,867.13,0.98,159.76,0.59,9.85,133.57,100,19.6,-6,今買い候補,中立,irbank:2026/03,自動取得財務でランキング反映。原資料チェックで精度を上げる,今買い候補。自動取得財務と月次シグナルで条件内です,自動取得財務で判定。原資料チェック推奨
0,7299,フジオーゼックス,スタンダード（内国株式）,輸送用機器,自動今買い候補,通常候補前,101.48,1614,1728.9,4979.32,2161.13,0.93,208.51,0.5,9.34,38.71,100,5.4,-6,今買い候補,良さそう,irbank:2026/03,自動取得財務でランキング反映。原資料チェックで精度を上げる,今買い候補。自動取得財務と月次シグナルで条件内です,自動取得財務で判定。原資料チェック推奨
0,5956,トーソー,スタンダード（内国株式）,金属製品,自動今買い候補,通常候補前,100.82,559,633.7,2729.55,792.12,0.88,388.29,0.31,8.82,27.8,50,7.7,-1.9,今買い候補,中立,irbank:2026/03,自動取得財務でランキング反映。原資料チェックで精度を上げる,今買い候補。自動取得財務と月次シグナルで条件内です,自動取得財務で判定。原資料チェック推奨
0,5940,不二サッシ,スタンダード（内国株式）,金属製品,自動今買い候補,通常候補前,100.54,702,1276,3112.57,1595,0.55,343.39,0.35,5.5,-172.98,100,0.3,-0.7,今買い候補,中立,irbank:2026/03,自動取得財務でランキング反映。原資料チェックで精度を上げる,今買い候補。自動取得財務と月次シグナルで条件内です,自動取得財務で判定。原資料チェック推奨
0,5997,協立エアテック,スタンダード（内国株式）,金属製品,自動今買い候補,通常候補前,100.52,873,953.4,3146.84,1191.75,0.92,260.46,0.42,9.16,47.07,75,4.6,-2.8,今買い候補,良さそう,irbank:2026/03,自動取得財務でランキング反映。原資料チェックで精度を上げる,今買い候補。自動取得財務と月次シグナルで条件内です,自動取得財務で判定。原資料チェック推奨
0,8537,大光銀行,スタンダード（内国株式）,銀行業,自動今買い候補,通常候補前,100.4,2740,3462.8,12936.1,4328.5,0.79,372.12,0.32,7.91,543.85,50,2.1,-12.3,今買い候補,中立,irbank:2026/03,自動取得財務でランキング反映。原資料チェックで精度を上げる,今買い候補。自動取得財務と月次シグナルで条件内です,自動取得財務で判定。原資料チェック推奨
0,7291,日本プラスト,スタンダード（内国株式）,輸送用機器,自動今買い候補,通常候補前,100.23,445,847.5,3039.35,1059.38,0.53,583,0.22,5.25,-139.3,100,2.8,-4.6,今買い候補,中立,irbank:2026/03,自動取得財務でランキング反映。原資料チェックで精度を上げる,今買い候補。自動取得財務と月次シグナルで条件内です,自動取得財務で判定。原資料チェック推奨
0,7490,日新商事,スタンダード（内国株式）,卸売業,自動今買い候補,通常候補前,100.2,2184,2516.05,13160.64,3145.06,0.87,502.59,0.56,3.98,-5.49,100,30.2,-3.1,今買い候補,中立,irbank:2026/03,自動取得財務でランキング反映。原資料チェックで精度を上げる,今買い候補。自動取得財務と月次シグナルで条件内です,自動取得財務で判定。原資料チェック推奨
0,7444,ハリマ共和物産,スタンダード（内国株式）,卸売業,自動今買い候補,通常候補前,99.96,1945,2285.1,7454.48,2856.38,0.85,283.26,0.4,8.51,8.81,50,2.9,-0.4,今買い候補,中立,irbank:2026/03,自動取得財務でランキング反映。原資料チェックで精度を上げる,今買い候補。自動取得財務と月次シグナルで条件内です,自動取得財務で判定。原資料チェック推奨
0,7946,光陽社,スタンダード（内国株式）,その他製品,自動買い場近い,通常候補前,99.8,356,350.1,1082.37,437.62,1.02,204.04,0.5,10.17,64.11,100,10.9,-3.3,買い場近い,良さそう,irbank:2026/03,自動取得財務でランキング反映。原資料チェックで精度を上げる,買い場近い。自動取得財務と月次シグナルで条件内です,自動取得財務で判定。原資料チェック推奨
0,8891,ＡＭＧホールディングス,スタンダード（内国株式）,不動産業,自動今買い候補,通常候補前,99.6,1862,2381.2,6546.5,2976.5,0.78,251.58,0.44,7.82,-214.23,100,14,-1.7,今買い候補,良さそう,irbank:2026/03,自動取得財務でランキング反映。原資料チェックで精度を上げる,今買い候補。自動取得財務と月次シグナルで条件内です,自動取得財務で判定。原資料チェック推奨
0,7812,クレステック,スタンダード（内国株式）,その他製品,自動買い場近い,通常候補前,99.46,2169,2059.37,8356.8,2602.8,1.05,285.28,0.67,6.23,0.61,100,11.8,-3.5,買い場近い,中立,irbank:2026/03,自動取得財務でランキング反映。原資料チェックで精度を上げる,買い場近い。自動取得財務と月次シグナルで条件内です,自動取得財務で判定。原資料チェック推奨
0,9506,東北電力,プライム（内国株式）,電気・ガス業,自動今買い候補,通常候補前,99.33,1042,1421.63,4076.4,1777.04,0.73,291.21,0.47,6.13,-458.92,100,9.2,-0.4,今買い候補,良さそう,irbank:2026/03,自動取得財務でランキング反映。原資料チェックで精度を上げる,今買い候補。自動取得財務と月次シグナルで条件内です,自動取得財務で判定。原資料チェック推奨
