code,name,sector,reviewStatus,score,price,buyLine,targetPrice,buyRatio,upside,pbr,per,netCashRatio,winRate,averageReturn,maxDrawdown,trades,signal,metricSource,earningsScore,earningsLabel,salesGrowthRate,operatingProfitGrowthRate,operatingProfitTurnaround,earningsPeriod,earningsReasons,earningsCautions,disclosureTitle,financialRiskLevel,financialRiskReasons,priceValidationLevel,priceValidationReasons,auxiliaryTrades,auxiliaryWinRate,auxiliaryAverageReturn,auxiliaryMaxDrawdown,trustLevel,reasons,cautions,nextAction
4990,昭和化学工業,化学,通常候補へ昇格OK,78.04,495,564.11,1408.08,0.88,184.46,0.56,8.44,11.21,0,0,0,0,今買い候補,irbank:2026/03,0,決算未取得,,,,,,決算短信データ未取得,,low,財務ガード通過,auxiliaryWeak,補助検証弱い 6回/勝率33.33%/平均0.87%,6,33.33,0.87,-7.79,avoid,低PBR 0.56倍 / 低PER 8.44倍 / 買いライン圏 0.88倍 / 上昇余地大 184.46%,価格検証取引少 0回。財務と現在価格を優先,自動ランキングへ反映済み。通常候補追加プレビューへも反映
5410,合同製鐵,鉄鋼,通常候補へ昇格OK,70.98,2592,2940.4,15043.77,0.88,480.39,0.26,8.82,-72.32,0,0,0,0,今買い候補,irbank:2026/03,0,決算未取得,,,,,,決算短信データ未取得,,low,財務ガード通過,thin,検証取引少 0回,1,0,-8.89,-8.89,thinValidation,低PBR 0.26倍 / 低PER 8.82倍 / 買いライン圏 0.88倍 / 上昇余地大 480.39%,価格検証取引少 0回。財務と現在価格を優先,自動ランキングへ反映済み。通常候補追加プレビューへも反映
5906,エムケー精工,金属製品,通常候補へ昇格OK,65.06,784,891.45,2585.04,0.88,229.72,0.56,7.28,-2.27,0,0,0,0,今買い候補,irbank:2026/03,0,決算未取得,,,,,,決算短信データ未取得,,low,財務ガード通過,auxiliaryGood,補助検証良好 7回/勝率71.43%/平均11.9%,7,71.43,11.9,-13.02,high,低PBR 0.56倍 / 低PER 7.28倍 / 買いライン圏 0.88倍 / 上昇余地大 229.72%,価格検証取引少 0回。財務と現在価格を優先,自動ランキングへ反映済み。通常候補追加プレビューへも反映
3945,スーパーバッグ,パルプ・紙,通常候補へ昇格OK,64.92,2110,2389.96,11473.68,0.88,443.78,0.57,4.41,-26.97,0,0,0,0,今買い候補,irbank:2026/03,0,決算未取得,,,,,,決算短信データ未取得,,low,財務ガード通過,thin,検証取引少 0回,6,50,1.2,-16.1,thinValidation,低PBR 0.57倍 / 低PER 4.41倍 / 買いライン圏 0.88倍 / 上昇余地大 443.78%,価格検証取引少 0回。財務と現在価格を優先,自動ランキングへ反映済み。通常候補追加プレビューへも反映
3238,セントラル総合開発,不動産業,追加確認,58.86,368,416.1,1639.69,0.88,345.57,0.34,8.84,-851.93,50,-3.3,-10.2,2,今買い候補,irbank:2026/03,0,決算未取得,,,,,,決算短信データ未取得,,high,特殊業種 / ネット有利子負債がかなり重い -851.93%,auxiliaryWeak,補助検証弱い 4回/勝率25%/平均-5.04%,4,25,-5.04,-15.78,avoid,低PBR 0.34倍 / 低PER 8.84倍 / 買いライン圏 0.88倍 / 上昇余地大 345.57%,不動産業は財務構造が特殊なため原資料確認を優先 / ネット有利子負債が重い -851.93% / 過去検証の最大下落が大きい -10.2% / 価格検証取引少 2回。財務と現在価格を優先,自動ランキングには反映。原資料チェックで信頼度を上げる
4224,ロンシール工業,化学,通常候補へ昇格OK,97.35,1988,2278.6,6547.08,0.87,229.33,0.46,8.72,73.21,0,0,0,0,今買い候補,irbank:2026/03,0,決算未取得,,,,,,決算短信データ未取得,,low,財務ガード通過,auxiliaryGood,補助検証良好 7回/勝率71.43%/平均11.5%,7,71.43,11.5,-11.35,high,低PBR 0.46倍 / 低PER 8.72倍 / ネット現金厚め 73.21% / 買いライン圏 0.87倍 / 上昇余地大 229.33%,価格検証取引少 0回。財務と現在価格を優先,自動ランキングへ反映済み。通常候補追加プレビューへも反映
9767,日建工学,サービス業,通常候補へ昇格OK,90.73,1505,1730.6,4609.68,0.87,206.29,0.56,7.84,89.42,0,0,0,0,今買い候補,irbank:2026/03,0,決算未取得,,,,,,決算短信データ未取得,,low,財務ガード通過,auxiliaryWeak,補助検証弱い 7回/勝率42.86%/平均-1.71%,7,42.86,-1.71,-13.18,avoid,低PBR 0.56倍 / 低PER 7.84倍 / ネット現金厚め 89.42% / 買いライン圏 0.87倍 / 上昇余地大 206.29%,価格検証取引少 0回。財務と現在価格を優先,自動ランキングへ反映済み。通常候補追加プレビューへも反映
7991,マミヤ・オーピー,機械,通常候補へ昇格OK,89.31,1015,1161.9,3858.49,0.87,280.15,0.4,8.74,6.82,0,0,0,0,今買い候補,irbank:2026/03,0,決算未取得,,,,,,決算短信データ未取得,,low,財務ガード通過,thin,検証取引少 0回,4,50,10.39,-12.3,thinValidation,低PBR 0.4倍 / 低PER 8.74倍 / 買いライン圏 0.87倍 / 上昇余地大 280.15%,価格検証取引少 0回。財務と現在価格を優先,自動ランキングへ反映済み。通常候補追加プレビューへも反映
7955,クリナップ,その他製品,通常候補へ昇格OK,81.21,877,1006.7,2622.39,0.87,199.02,0.51,8.71,38.61,0,0,0,0,今買い候補,irbank:2026/03,0,決算未取得,,,,,,決算短信データ未取得,,low,財務ガード通過,thin,検証取引少 0回,6,50,10.48,-6.93,thinValidation,低PBR 0.51倍 / 低PER 8.71倍 / ネット現金厚め 38.61% / 買いライン圏 0.87倍 / 上昇余地大 199.02%,価格検証取引少 0回。財務と現在価格を優先,自動ランキングへ反映済み。通常候補追加プレビューへも反映
9761,東海リース,サービス業,追加確認,71.43,2212,2540.6,7730.83,0.87,249.5,0.44,8.71,-180.37,0,0,0,0,今買い候補,irbank:2026/03,0,決算未取得,,,,,,決算短信データ未取得,,medium,ネット有利子負債がかなり重い -180.37%,auxiliaryGood,補助検証良好 7回/勝率85.71%/平均9.06%,7,85.71,9.06,-5.87,financialCaution,低PBR 0.44倍 / 低PER 8.71倍 / 買いライン圏 0.87倍 / 上昇余地大 249.5%,ネット有利子負債が重い -180.37% / 価格検証取引少 0回。財務と現在価格を優先,自動ランキングには反映。原資料チェックで信頼度を上げる
7490,日新商事,卸売業,通常候補へ昇格OK,65.54,2184,2516.05,13160.64,0.87,502.59,0.56,3.98,-5.49,0,0,0,0,今買い候補,irbank:2026/03,0,決算未取得,,,,,,決算短信データ未取得,,low,財務ガード通過,auxiliaryGood,補助検証良好 7回/勝率71.43%/平均14.76%,7,71.43,14.76,-7.49,high,低PBR 0.56倍 / 低PER 3.98倍 / 買いライン圏 0.87倍 / 上昇余地大 502.59%,価格検証取引少 0回。財務と現在価格を優先,自動ランキングへ反映済み。通常候補追加プレビューへも反映
8091,ニチモウ,卸売業,追加確認,65.52,2266,2608.74,7427.28,0.87,227.77,0.56,7.32,-151.36,0,0,0,0,今買い候補,irbank:2026/03,0,決算未取得,,,,,,決算短信データ未取得,,medium,ネット有利子負債がかなり重い -151.36%,thin,検証取引少 0回,8,50,3.1,-11.2,financialCaution,低PBR 0.56倍 / 低PER 7.32倍 / 買いライン圏 0.87倍 / 上昇余地大 227.77%,ネット有利子負債が重い -151.36% / 価格検証取引少 0回。財務と現在価格を優先,自動ランキングには反映。原資料チェックで信頼度を上げる
3134,Ｈａｍｅｅ,小売業,通常候補へ昇格OK,62.39,253,290.23,812.4,0.87,221.11,0.56,7.47,-56.03,0,0,0,0,今買い候補,irbank:2026/04,0,決算未取得,,,,,,決算短信データ未取得,,low,財務ガード通過,thin,検証取引少 0回,1,0,0,0,thinValidation,低PBR 0.56倍 / 低PER 7.47倍 / 買いライン圏 0.87倍 / 上昇余地大 221.11%,価格検証取引少 0回。財務と現在価格を優先,自動ランキングへ反映済み。通常候補追加プレビューへも反映
