code,month,close,source
5011,2023-12,2329.8213,yahoo
5011,2024-01,2214.1631,yahoo
5011,2024-02,2278.9316,yahoo
5011,2024-03,2262.3269,yahoo
5011,2024-04,2267.0166,yahoo
5011,2024-05,2332.6729,yahoo
5011,2024-06,2303.5967,yahoo
5011,2024-07,2365.501,yahoo
5011,2024-08,2346.7419,yahoo
5011,2024-09,2305.3643,yahoo
5011,2024-10,2279.6963,yahoo
5011,2024-11,2552.5374,yahoo
5011,2024-12,2304.4136,yahoo
5011,2025-01,2140.8989,yahoo
5011,2025-02,2072.4512,yahoo
5011,2025-03,2387.7849,yahoo
5011,2025-04,2432.2717,yahoo
5011,2025-05,2331.6929,yahoo
5011,2025-06,2873.2722,yahoo
5011,2025-07,2707.8972,yahoo
5011,2025-08,2557.0283,yahoo
5011,2025-09,2381.0742,yahoo
5011,2025-10,2434.0742,yahoo
5011,2025-11,2398.7407,yahoo
5011,2025-12,2365.3704,yahoo
5011,2026-01,2394.8149,yahoo
5011,2026-02,2066.0186,yahoo
5011,2026-03,2026.0,yahoo
5011,2026-04,2011.0,yahoo
5011,2026-05,2112.0,yahoo
5011,2026-06,2112.0,yahoo
5013,2023-07,1298.2605,yahoo
5013,2023-08,1359.9146,yahoo
5013,2023-09,1303.7671,yahoo
5013,2023-10,1532.0601,yahoo
5013,2023-11,1462.5022,yahoo
5013,2023-12,1700.6046,yahoo
5013,2024-01,2008.2651,yahoo
5013,2024-02,1968.1353,yahoo
5013,2024-03,1804.4172,yahoo
5013,2024-04,1557.3242,yahoo
5013,2024-05,1670.3854,yahoo
5013,2024-06,1650.326,yahoo
5013,2024-07,1563.7068,yahoo
5013,2024-08,1424.2039,yahoo
5013,2024-09,1466.4149,yahoo
5013,2024-10,1965.126,yahoo
5013,2024-11,2015.2759,yahoo
5013,2024-12,1960.4824,yahoo
5013,2025-01,1871.3275,yahoo
5013,2025-02,1788.6735,yahoo
5013,2025-03,1815.4636,yahoo
5013,2025-04,1936.4305,yahoo
5013,2025-05,1852.9058,yahoo
5013,2025-06,2084.2791,yahoo
5013,2025-07,2208.126,yahoo
5013,2025-08,2172.604,yahoo
5013,2025-09,2069.7959,yahoo
5013,2025-10,2262.3804,yahoo
5013,2025-11,2728.2788,yahoo
5013,2025-12,2947.1248,yahoo
5013,2026-01,3131.928,yahoo
5013,2026-02,2922.8086,yahoo
5013,2026-03,3310.0,yahoo
5013,2026-04,3320.0,yahoo
5013,2026-05,2870.0,yahoo
5013,2026-06,2870.0,yahoo
5015,2023-07,783.668,yahoo
5015,2023-08,820.9432,yahoo
5015,2023-09,798.7556,yahoo
5015,2023-10,793.4306,yahoo
5015,2023-11,771.2429,yahoo
5015,2023-12,793.6777,yahoo
5015,2024-01,831.8178,yahoo
5015,2024-02,917.179,yahoo
5015,2024-03,906.2819,yahoo
5015,2024-04,892.6604,yahoo
5015,2024-05,873.5904,yahoo
5015,2024-06,871.4326,yahoo
5015,2024-07,832.5377,yahoo
5015,2024-08,814.9423,yahoo
5015,2024-09,801.9773,yahoo
5015,2024-10,816.7945,yahoo
5015,2024-11,805.6816,yahoo
5015,2024-12,794.5455,yahoo
5015,2025-01,802.1488,yahoo
5015,2025-02,821.157,yahoo
5015,2025-03,793.5951,yahoo
5015,2025-04,799.2975,yahoo
5015,2025-05,791.6942,yahoo
5015,2025-06,818.8584,yahoo
5015,2025-07,845.1163,yahoo
5015,2025-08,876.2368,yahoo
5015,2025-09,904.4398,yahoo
5015,2025-10,936.5328,yahoo
5015,2025-11,899.5772,yahoo
5015,2025-12,925.0,yahoo
5015,2026-01,1002.0,yahoo
5015,2026-02,1000.0,yahoo
5015,2026-03,999.0,yahoo
5015,2026-04,1020.0,yahoo
5015,2026-05,1008.0,yahoo
5015,2026-06,1008.0,yahoo
5016,2025-02,862.9679,yahoo
5016,2025-03,786.7538,yahoo
5016,2025-04,776.855,yahoo
5016,2025-05,798.8303,yahoo
5016,2025-06,883.6627,yahoo
5016,2025-07,1350.1914,yahoo
