hiddenScore,score,qualityRank,code,name,market,sector,status,judgement,signal,strategy,priceScore,winRate,averageReturn,maxDrawdown,periodReturn,trades,timingAction,assistAction,qualityNote,comment,nextCheck,caution,reason
127,127,127,9708,"Imperial Hotel,Ltd.",Standard Market(Domestic),Services,未発掘の監視候補,良さそう,待ち,高値更新,63.8,100,12,-3.4,4.4,3,監視候補,監視候補,負けにくさ良好,既存候補外で価格検証に残ったため、監視候補として確認します,財務、材料、出来高,なし,高値更新型で勢いがある
126.9,126.9,126.9,4229,"Gun Ei Chemical Industry Co.,Ltd.",Prime Market (Domestic),Chemicals,未発掘の監視候補,良さそう,待ち,上昇中押し目,63.6,100,11.7,-3.1,67.7,3,監視候補,監視候補,負けにくさ良好,既存候補外で価格検証に残ったため、監視候補として確認します,財務、材料、出来高,なし,価格検証で候補圏に残った
126.7,126.7,126.7,1827,NAKANO CORPORATION,Standard Market(Domestic),Construction,未発掘の監視候補,良さそう,待ち,高値更新,62.9,100,11,-5.1,82.9,4,監視候補,監視候補,負けにくさ良好,既存候補外で価格検証に残ったため、監視候補として確認します,財務、材料、出来高,なし,高値更新型で勢いがある
126.7,126.7,126.7,3040,SOLITON SYSTEMS K.K.,Prime Market (Domestic),Information & Communication,未発掘の財務確認候補,良さそう,上昇中押し目,高値更新,52,66.7,8.9,-5.1,54.5,3,財務確認して監視,財務確認して監視,財務確認前,押し目候補ですが、通常候補へ入れる前に財務確認が必要です,BPS、EPS、現金、有利子負債、直近決算,なし,既存候補外で上昇中の押し目に見える
126.6,126.6,126.6,6182,MetaReal Corporation,Growth Market(Domestic),Services,様子見候補,中立,待ち,安値反転,80.8,100,31.4,-1.7,2.2,1,様子見,様子見,検証回数少なめ,価格検証は良いものの回数が少ないため、まず財務と出来高を確認します,財務、材料、出来高,検証回数少なめ,安値反転の検証が良い
126.6,126.6,126.6,3156,Restar Corporation,Prime Market (Domestic),Wholesale Trade,未発掘の監視候補,良さそう,待ち,高値更新,63,100,10.6,-1.9,76.9,3,監視候補,監視候補,負けにくさ良好,既存候補外で価格検証に残ったため、監視候補として確認します,財務、材料、出来高,なし,高値更新型で勢いがある
126.5,126.5,126.5,6656,inspec Inc.,Standard Market(Domestic),Electric Appliances,未発掘の財務確認候補,中立,上昇中押し目,上昇中押し目,76.6,100,24.3,0,38.3,1,財務確認して監視,財務確認して監視,検証回数少なめ,押し目候補ですが、通常候補へ入れる前に財務確認が必要です,BPS、EPS、現金、有利子負債、直近決算,検証回数少なめ,既存候補外で上昇中の押し目に見える
125.9,125.9,125.9,5031,Moi Corporation,Growth Market(Domestic),Information & Communication,様子見候補,中立,待ち,安値反転,79.6,100,29.8,0,53.6,1,様子見,様子見,検証回数少なめ,価格検証は良いものの回数が少ないため、まず財務と出来高を確認します,財務、材料、出来高,検証回数少なめ,安値反転の検証が良い
125.8,125.8,125.8,3646,"Ekitan & Co.,Ltd.",Standard Market(Domestic),Information & Communication,未発掘の監視候補,良さそう,待ち,安値反転,63.6,100,12,-1.2,-0.6,2,監視候補,監視候補,負けにくさ良好,既存候補外で価格検証に残ったため、監視候補として確認します,財務、材料、出来高,なし,安値反転の検証が良い
125.4,125.4,125.4,8158,"SODA NIKKA CO.,LTD.",Prime Market (Domestic),Wholesale Trade,未発掘の監視候補,良さそう,待ち,安値反転,63.5,100,12,-1.4,4.7,2,監視候補,監視候補,負けにくさ良好,既存候補外で価格検証に残ったため、監視候補として確認します,財務、材料、出来高,なし,安値反転の検証が良い
125,125,125,4114,"NIPPON SHOKUBAI CO.,LTD.",Prime Market (Domestic),Chemicals,未発掘の監視候補,良さそう,待ち,高値更新,63.7,100,12.9,-2.6,28.9,2,監視候補,監視候補,負けにくさ良好,既存候補外で価格検証に残ったため、監視候補として確認します,財務、材料、出来高,なし,高値更新型で勢いがある
125,125,125,5820,"MITSUBOSHI CO.,LTD.",Standard Market(Domestic),Nonferrous Metals,未発掘の監視候補,良さそう,待ち,安値反転,63,100,11.7,-1.1,4.3,2,監視候補,監視候補,負けにくさ良好,既存候補外で価格検証に残ったため、監視候補として確認します,財務、材料、出来高,なし,安値反転の検証が良い
125,125,125,7326,"SBI Insurance Group Co.,Ltd.",Growth Market(Domestic),Insurance,未発掘の監視候補,良さそう,待ち,高値更新,61.7,100,9.6,-1.3,62.9,3,様子見,様子見,負けにくさ良好,既存候補外で価格検証に残ったため、監視候補として確認します,財務、材料、出来高,なし,高値更新型で勢いがある
124.9,124.9,124.9,7215,"FALTEC Co.,Ltd.",Standard Market(Domestic),Transportation Equipment,未発掘の監視候補,良さそう,待ち,安値反転,64,100,13.7,-3.6,16.9,2,監視候補,監視候補,負けにくさ良好,既存候補外で価格検証に残ったため、監視候補として確認します,財務、材料、出来高,なし,安値反転の検証が良い
124.8,124.8,124.8,3803,Image Information Inc.,Growth Market(Domestic),Information & Communication,様子見候補,中立,待ち,安値反転,80.8,100,33.1,-4.5,11.2,1,様子見,様子見,検証回数少なめ,価格検証は良いものの回数が少ないため、まず財務と出来高を確認します,財務、材料、出来高,検証回数少なめ,安値反転の検証が良い
124.8,124.8,124.8,3183,"WIN-Partners Co.,Ltd.",Prime Market (Domestic),Wholesale Trade,未発掘の監視候補,良さそう,安値反転候補,安値反転,66.7,100,8.7,-1.4,-8.2,2,様子見,様子見,負けにくさ良好,既存候補外で価格検証に残ったため、監視候補として確認します,財務、材料、出来高,なし,安値反転の検証が良い
124.8,124.8,124.8,4042,TOSOH CORPORATION,Prime Market (Domestic),Chemicals,未発掘の監視候補,良さそう,待ち,上昇中押し目,62.5,100,10.7,0,42.6,2,監視候補,監視候補,負けにくさ良好,既存候補外で価格検証に残ったため、監視候補として確認します,財務、材料、出来高,なし,価格検証で候補圏に残った
124.7,124.7,124.7,2437,"SHINWA WISE HOLDINGS CO.,LTD.",Standard Market(Domestic),Services,未発掘の監視候補,良さそう,待ち,高値更新,60.8,75,13,-3,98.6,4,様子見,様子見,財務確認前,既存候補外で価格検証に残ったため、監視候補として確認します,財務、材料、出来高,なし,高値更新型で勢いがある
124.6,124.6,124.6,8713,FIDEA Holdings Co.Ltd.,Prime Market (Domestic),Banks,未発掘の監視候補,良さそう,待ち,高値更新,63.8,100,13.5,-3.5,33.9,2,監視候補,監視候補,負けにくさ良好,既存候補外で価格検証に残ったため、監視候補として確認します,財務、材料、出来高,なし,高値更新型で勢いがある
124.5,124.5,124.5,9310,Japan Transcity Corporation,Prime Market (Domestic),Warehousing and Harbor Transportation Service,未発掘の監視候補,良さそう,安値反転候補,安値反転,66.9,100,9.4,-2.4,14.9,2,様子見,様子見,負けにくさ良好,既存候補外で価格検証に残ったため、監視候補として確認します,財務、材料、出来高,なし,安値反転の検証が良い
124.2,124.2,124.2,9980,MRK HOLDINGS INC.,Standard Market(Domestic),Retail Trade,様子見候補,中立,待ち,高値更新,78.5,100,29.3,0,9.3,1,様子見,様子見,検証回数少なめ,価格検証は良いものの回数が少ないため、まず財務と出来高を確認します,財務、材料、出来高,検証回数少なめ,高値更新型で勢いがある
124,124,124,5575,Globee Inc.,Growth Market(Domestic),Information & Communication,様子見候補,中立,待ち,高値更新,78.4,100,29.2,0,-26,1,様子見,様子見,検証回数少なめ,価格検証は良いものの回数が少ないため、まず財務と出来高を確認します,財務、材料、出来高,検証回数少なめ,高値更新型で勢いがある
124,124,124,5071,VIS co.ltd.,Standard Market(Domestic),Services,未発掘の監視候補,良さそう,安値反転候補,安値反転,66.7,100,9.3,-2.5,10.3,2,様子見,様子見,負けにくさ良好,既存候補外で価格検証に残ったため、監視候補として確認します,財務、材料、出来高,なし,安値反転の検証が良い
124,124,124,1833,OKUMURA CORPORATION,Prime Market (Domestic),Construction,未発掘の監視候補,良さそう,安値反転候補,高値更新,65.9,100,8.5,-4.2,33.9,3,様子見,様子見,負けにくさ良好,既存候補外で価格検証に残ったため、監視候補として確認します,財務、材料、出来高,なし,高値更新型で勢いがある
124,124,124,6877,Obara Group Incorporated,Standard Market(Domestic),Electric Appliances,未発掘の監視候補,良さそう,待ち,上昇中押し目,63.7,100,13.9,-4.2,78.6,2,監視候補,監視候補,負けにくさ良好,既存候補外で価格検証に残ったため、監視候補として確認します,財務、材料、出来高,なし,価格検証で候補圏に残った
123.9,123.9,123.9,7112,"CUBE CO.,LTD.",Growth Market(Domestic),Retail Trade,未発掘の監視候補,良さそう,待ち,上昇中押し目,62,100,10.8,-0.4,61.6,2,監視候補,監視候補,負けにくさ良好,既存候補外で価格検証に残ったため、監視候補として確認します,財務、材料、出来高,なし,価格検証で候補圏に残った
123.9,123.9,123.9,6647,"MORIO DENKI CO.,LTD.",Standard Market(Domestic),Electric Appliances,未発掘の監視候補,良さそう,待ち,上昇中押し目,60.5,100,8.2,0,56.1,3,様子見,様子見,負けにくさ良好,既存候補外で価格検証に残ったため、監視候補として確認します,財務、材料、出来高,なし,価格検証で候補圏に残った
123.7,123.7,123.7,6771,"IKEGAMI TSUSHINKI CO.,LTD.",Standard Market(Domestic),Electric Appliances,未発掘の監視候補,良さそう,待ち,安値反転,61.8,100,10.9,-3.4,5.2,3,監視候補,監視候補,負けにくさ良好,既存候補外で価格検証に残ったため、監視候補として確認します,財務、材料、出来高,なし,安値反転の検証が良い
123.6,123.6,123.6,3912,"Mobile Factory,Inc.",Standard Market(Domestic),Information & Communication,未発掘の監視候補,良さそう,待ち,上昇中押し目,60.9,100,9.3,-1.5,13.6,3,様子見,様子見,負けにくさ良好,既存候補外で価格検証に残ったため、監視候補として確認します,財務、材料、出来高,なし,価格検証で候補圏に残った
123.2,123.2,123.2,6390,"KATO WORKS CO.,LTD.",Prime Market (Domestic),Machinery,未発掘の監視候補,良さそう,安値反転候補,安値反転,65.9,100,8.7,-2,-5.2,2,様子見,様子見,負けにくさ良好,既存候補外で価格検証に残ったため、監視候補として確認します,財務、材料、出来高,なし,安値反転の検証が良い
123.2,123.2,123.2,3299,"MUGEN ESTATE Co.,Ltd.",Standard Market(Domestic),Real Estate,未発掘の監視候補,良さそう,安値反転候補,安値反転,65.8,100,8.4,-1.7,-13.8,2,様子見,様子見,負けにくさ良好,既存候補外で価格検証に残ったため、監視候補として確認します,財務、材料、出来高,なし,安値反転の検証が良い
123.2,123.2,123.2,5888,"DAIWA CYCLE CO.,LTD.",Growth Market(Domestic),Retail Trade,未発掘の監視候補,良さそう,待ち,安値反転,61.7,100,10.7,-0.6,-33.6,2,監視候補,監視候補,負けにくさ良好,既存候補外で価格検証に残ったため、監視候補として確認します,財務、材料、出来高,なし,安値反転の検証が良い
