rankSeed,code,name,market,sector,points,firstDate,lastDate,lastClose,periodReturn,bestStrategy,trades,winRate,averageReturn,maxDrawdown,latestSignal,priceScore,judgement,error
436,2735,"WATTS CO.,LTD.",Standard Market(Domestic),Retail Trade,254,2025-06-09,2026-06-23,610,-13.8,安値反転,2,0,-1.4,-5.4,安値反転候補,6.6,見送り寄り,
949,3788,GMO GlobalSign Holdings K.K.,Prime Market (Domestic),Information & Communication,254,2025-06-09,2026-06-23,1963,-3.6,安値反転,2,0,-2,-4.6,安値反転候補,6.6,見送り寄り,
3293,8917,"First Juken Co.,Ltd.",Standard Market(Domestic),Real Estate,254,2025-06-09,2026-06-23,1028,3.2,上昇中押し目,3,33.3,-3.2,-6.4,待ち,6.6,見送り寄り,
875,3649,FINDEX Inc.,Prime Market (Domestic),Information & Communication,254,2025-06-09,2026-06-23,799,9.2,上昇中押し目,4,25,-2.4,-7.9,待ち,6.5,見送り寄り,
1061,3984,"User Local,Inc.",Prime Market (Domestic),Information & Communication,254,2025-06-09,2026-06-23,1685,-10.9,安値反転,3,33.3,-0.6,-10.8,待ち,6.5,見送り寄り,
1246,4318,"QUICK CO.,LTD.",Prime Market (Domestic),Services,254,2025-06-09,2026-06-23,704,-4.6,高値更新,2,50,-3.7,-7.9,待ち,6.5,見送り寄り,
1496,4714,RISO KYOIKU GROUP CORPORATION,Prime Market (Domestic),Services,254,2025-06-09,2026-06-23,195,-12.6,安値反転,2,0,-2,-4.6,安値反転候補,6.5,見送り寄り,
1978,6069,"Trenders,Inc.",Growth Market(Domestic),Services,254,2025-06-09,2026-06-23,602,-35.8,安値反転,4,25,-0.6,-10.9,待ち,6.5,見送り寄り,
11,1380,"AKIKAWA FOODS & FARMS CO.,LTD.",Standard Market(Domestic),"Fishery, Agriculture and Forestry",254,2025-06-09,2026-06-23,991,0.1,安値反転,3,33.3,-2.2,-8.3,待ち,6.4,見送り寄り,
12,1381,"AXYZ CO.,Ltd.",Standard Market(Domestic),"Fishery, Agriculture and Forestry",254,2025-06-09,2026-06-23,3705,18.8,高値更新,2,50,-2.2,-10.6,待ち,6.4,見送り寄り,
209,2130,"Members Co.,Ltd.",Prime Market (Domestic),Services,254,2025-06-09,2026-06-23,1044,-15.5,安値反転,3,33.3,-1,-10.2,待ち,6.4,見送り寄り,
743,3377,BIKE O & COMPANY Ltd.,Standard Market(Domestic),Wholesale Trade,254,2025-06-09,2026-06-23,361,-12.6,安値反転,2,50,-3.6,-8.2,待ち,6.4,見送り寄り,
1499,4719,ALPHA SYSTEMS INC.,Prime Market (Domestic),Information & Communication,254,2025-06-09,2026-06-23,3305,-3.1,安値反転,3,33.3,-6.1,-10.1,安値反転候補,6.4,見送り寄り,
2855,7727,OVAL Corporation,Standard Market(Domestic),Precision Instruments,254,2025-06-09,2026-06-23,763,63.4,上昇中押し目,6,16.7,-2.7,-8.4,待ち,6.4,見送り寄り,
3589,9663,"NAGAWA CO.,Ltd",Prime Market (Domestic),Services,254,2025-06-09,2026-06-23,4990,-17,安値反転,4,25,-5.4,-11.3,安値反転候補,6.4,見送り寄り,
3647,9812,"T.O. Holdings CO.,LTD.",Standard Market(Domestic),Retail Trade,254,2025-06-09,2026-06-23,223,-29.2,安値反転,2,50,-3,-9.2,待ち,6.4,見送り寄り,
295,2334,eole Inc.,Growth Market(Domestic),Services,254,2025-06-09,2026-06-23,620,429.5,高値更新,5,20,-4.9,-11.6,上昇中押し目,6.3,見送り寄り,
1567,4883,Modalis Therapeutics Corporation,Growth Market(Domestic),Pharmaceutical,254,2025-06-09,2026-06-23,32,-69.8,安値反転,2,50,-3.4,-8.6,待ち,6.3,見送り寄り,
423,2695,"Kura Sushi,Inc.",Prime Market (Domestic),Retail Trade,254,2025-06-09,2026-06-23,1520,-5.3,安値反転,3,33.3,-1.8,-9,待ち,6.2,見送り寄り,
2041,6184,"Kamakura Shinsho,Ltd.",Prime Market (Domestic),Services,254,2025-06-09,2026-06-23,464,-9.4,安値反転,2,50,-3.7,-8.2,待ち,6.2,見送り寄り,
850,3598,"YAMAKI CO.,LTD.",Standard Market(Domestic),Textiles and Apparels,254,2025-06-09,2026-06-23,153,-6.1,安値反転,2,50,-3.8,-8.2,待ち,6.1,見送り寄り,
975,3842,"Nextgen,Inc.",Standard Market(Domestic),Information & Communication,254,2025-06-09,2026-06-23,908,3.9,安値反転,2,50,-3.9,-8,待ち,6,見送り寄り,
1226,4265,Institution for a Global Society Corporation,Growth Market(Domestic),Information & Communication,254,2025-06-09,2026-06-23,380,16.2,安値反転,2,50,1.5,-17,待ち,6,中立,
2224,6494,"NFK HOLDINGS CO.,Ltd",Standard Market(Domestic),Machinery,254,2025-06-09,2026-06-23,95,1.1,高値更新,3,33.3,-1.3,-10,待ち,6,見送り寄り,
3015,8006,"YUASA FUNASHOKU Co.,Ltd.",Standard Market(Domestic),Wholesale Trade,254,2025-06-09,2026-06-23,1460,33.2,上昇中押し目,3,33.3,-2.7,-7.6,待ち,6,見送り寄り,
3458,9332,"NISSO HOLDINGS Co.,Ltd.",Prime Market (Domestic),Services,254,2025-06-09,2026-06-23,576,-7.8,安値反転,3,33.3,-6.2,-10.2,安値反転候補,6,見送り寄り,
180,1981,"KYOWANISSEI CO.,LTD.",Standard Market(Domestic),Construction,254,2025-06-09,2026-06-23,1310,-3,上昇中押し目,2,0,-2.9,-3.5,安値反転候補,5.9,見送り寄り,
1594,4929,"ADJUVANT HOLDINGS CO.,LTD.",Standard Market(Domestic),Chemicals,254,2025-06-09,2026-06-23,721,-4.4,安値反転,3,33.3,-2.5,-8.2,待ち,5.9,見送り寄り,
251,2212,"YAMAZAKI BAKING CO.,LTD.",Prime Market (Domestic),Foods,254,2025-06-09,2026-06-23,3083,-4,安値反転,3,33.3,-2.4,-8.3,待ち,5.8,見送り寄り,
646,3169,"Misawa & Co.,Ltd.",Standard Market(Domestic),Retail Trade,254,2025-06-09,2026-06-23,660,2.2,安値反転,3,33.3,-1.5,-9.9,待ち,5.7,見送り寄り,
2914,7836,"AVIX,Inc.",Standard Market(Domestic),Other Products,254,2025-06-09,2026-06-23,80,-20.8,安値反転,5,0,-4.3,-9,安値反転候補,5.7,見送り寄り,
216,2152,Youji Corporation,Standard Market(Domestic),Services,254,2025-06-09,2026-06-23,1439,8.6,安値反転,4,25,-2.7,-8.1,待ち,5.6,見送り寄り,
780,343A,IACE TRAVEL Corporation.,Standard Market(Domestic),Services,254,2025-06-09,2026-06-23,1345,27,安値反転,3,33.3,-2.2,-9,待ち,5.6,見送り寄り,
1077,4011,"Headwaters Co.,Ltd",Growth Market(Domestic),Information & Communication,254,2025-06-09,2026-06-23,2010,-38.1,安値反転,3,33.3,-0.1,-12.4,待ち,5.6,見送り寄り,
1340,4445,Living Technologies Inc.,Growth Market(Domestic),Information & Communication,254,2025-06-09,2026-06-23,1527,-4.7,安値反転,2,0,-2.6,-4.4,安値反転候補,5.6,見送り寄り,
1977,6063,"Emergency Assistance Japan Co., Ltd.",Standard Market(Domestic),Services,254,2025-06-09,2026-06-23,991,-5.2,安値反転,3,33.3,-2.4,-8.5,待ち,5.6,見送り寄り,
3276,8860,FUJI CORPORATION LIMITED,Prime Market (Domestic),Real Estate,254,2025-06-09,2026-06-23,715,6.1,上昇中押し目,3,33.3,-2.5,-8.4,待ち,5.5,見送り寄り,
3412,9244,DIGITALIFT Inc.,Growth Market(Domestic),Services,254,2025-06-09,2026-06-23,1161,56.7,上昇中押し目,4,25,-1.7,-6.5,高値圏,5.5,見送り寄り,
3509,9435,"HIKARI TSUSHIN,INC.",Prime Market (Domestic),Information & Communication,254,2025-06-09,2026-06-23,35240,-15.3,上昇中押し目,3,33.3,-3.2,-7.3,待ち,5.5,見送り寄り,
