readinessScore,rank,code,name,market,sector,status,action,signal,priority,winRate,averageReturn,maxDrawdown,periodReturn,price,nextCheck,blockers,checklist,note
158.5,29,7734,"RIKEN KEIKI CO.,LTD.",Prime Market (Domestic),Precision Instruments,監視しながら財務確認,監視しながら財務確認,待ち,134.5,100,16.4,0,24.4,3595,財務、材料、流動性,なし,BPS、EPS、現金、有利子負債、発行株数、直近決算、出来高,価格バックテストは良好です。財務、材料、流動性を確認してから候補化します
158.3,30,4256,"CYND Co.,Ltd.",Growth Market(Domestic),Information & Communication,監視しながら財務確認,監視しながら財務確認,待ち,134.3,100,16.5,-0.3,-6.4,939,出来高、材料、過熱感,なし,BPS、EPS、現金、有利子負債、発行株数、直近決算、出来高,高値更新型で強い値動きです。飛びつきではなく、出来高を伴う継続上昇かを確認します
157.7,31,5363,TYK CORPORATION,Standard Market(Domestic),Glass and Ceramics Products,監視しながら財務確認,監視しながら財務確認,待ち,133.7,100,16.4,-0.4,23.2,684,財務、材料、流動性,なし,BPS、EPS、現金、有利子負債、発行株数、直近決算、出来高,価格バックテストは良好です。財務、材料、流動性を確認してから候補化します
157,32,4351,YAMADA SERVICER SYNTHETIC OFFICE,Standard Market(Domestic),Other Financing Business,監視しながら財務確認,監視しながら財務確認,待ち,133,100,19.2,-4.9,5.2,946,財務、材料、流動性,なし,BPS、EPS、現金、有利子負債、発行株数、直近決算、出来高,価格バックテストは良好です。財務、材料、流動性を確認してから候補化します
157,33,7513,"Kojima Co.,Ltd.",Prime Market (Domestic),Retail Trade,監視しながら財務確認,監視しながら財務確認,待ち,133,100,17.2,-1.9,18.5,1272,財務、材料、流動性,なし,BPS、EPS、現金、有利子負債、発行株数、直近決算、出来高,価格バックテストは良好です。財務、材料、流動性を確認してから候補化します
156.5,34,4310,Dream Incubator Inc.,Prime Market (Domestic),Services,監視しながら財務確認,監視しながら財務確認,待ち,132.5,100,15.9,-0.3,4.4,2585,財務、材料、流動性,なし,BPS、EPS、現金、有利子負債、発行株数、直近決算、出来高,価格バックテストは良好です。財務、材料、流動性を確認してから候補化します
156.3,35,3908,Collabos Corporation,Standard Market(Domestic),Information & Communication,監視しながら財務確認,監視しながら財務確認,待ち,132.3,100,16.6,-1.4,2.3,316,財務、材料、流動性,なし,BPS、EPS、現金、有利子負債、発行株数、直近決算、出来高,価格バックテストは良好です。財務、材料、流動性を確認してから候補化します
156.1,36,1515,"Nittetsu Mining Co.,Ltd.",Prime Market (Domestic),Mining,監視しながら財務確認,監視しながら財務確認,待ち,132.1,100,15.8,-3.3,69.9,2484,出来高、材料、過熱感,なし,BPS、EPS、現金、有利子負債、発行株数、直近決算、出来高,高値更新型で強い値動きです。飛びつきではなく、出来高を伴う継続上昇かを確認します
155.9,37,6648,KAWADEN CORPORATION,Standard Market(Domestic),Electric Appliances,監視しながら財務確認,監視しながら財務確認,待ち,131.9,100,16.1,-2.4,105.3,1819,出来高、材料、過熱感,なし,BPS、EPS、現金、有利子負債、発行株数、直近決算、出来高,高値更新型で強い値動きです。飛びつきではなく、出来高を伴う継続上昇かを確認します
155.8,38,4679,"TAYA Co.,Ltd.",Standard Market(Domestic),Services,監視しながら財務確認,監視しながら財務確認,待ち,131.8,100,15.4,0,2.5,247,出来高、材料、過熱感,なし,BPS、EPS、現金、有利子負債、発行株数、直近決算、出来高,高値更新型で強い値動きです。飛びつきではなく、出来高を伴う継続上昇かを確認します
155.5,39,6643,"Togami Electric Mfg.Co.,Ltd.",Standard Market(Domestic),Electric Appliances,監視しながら財務確認,監視しながら財務確認,待ち,131.5,100,15.8,-2.1,51.1,5220,出来高、材料、過熱感,なし,BPS、EPS、現金、有利子負債、発行株数、直近決算、出来高,高値更新型で強い値動きです。飛びつきではなく、出来高を伴う継続上昇かを確認します
155.1,40,7781,"HIRAYAMA HOLDINGS Co.,Ltd.",Standard Market(Domestic),Precision Instruments,監視しながら財務確認,監視しながら財務確認,待ち,131.1,100,15.7,-0.7,46.4,1536,出来高、材料、過熱感,なし,BPS、EPS、現金、有利子負債、発行株数、直近決算、出来高,高値更新型で強い値動きです。飛びつきではなく、出来高を伴う継続上昇かを確認します
155,41,9010,"FUJI KYUKO CO.,LTD.",Prime Market (Domestic),Land Transportation,監視しながら財務確認,監視しながら財務確認,待ち,131,100,16.1,-1.4,23.5,2493,財務、材料、流動性,なし,BPS、EPS、現金、有利子負債、発行株数、直近決算、出来高,価格バックテストは良好です。財務、材料、流動性を確認してから候補化します
154.7,42,6859,ESPEC CORP.,Prime Market (Domestic),Electric Appliances,監視しながら財務確認,監視しながら財務確認,待ち,130.7,100,16,-1.3,53.3,4495,財務、材料、流動性,なし,BPS、EPS、現金、有利子負債、発行株数、直近決算、出来高,価格バックテストは良好です。財務、材料、流動性を確認してから候補化します
153.8,43,4238,"Miraial Co.,Ltd.",Standard Market(Domestic),Chemicals,監視しながら財務確認,監視しながら財務確認,待ち,129.8,100,16.4,-2.4,54.5,1943,財務、材料、流動性,なし,BPS、EPS、現金、有利子負債、発行株数、直近決算、出来高,価格バックテストは良好です。財務、材料、流動性を確認してから候補化します
152.2,44,5233,TAIHEIYO CEMENT CORPORATION,Prime Market (Domestic),Glass and Ceramics Products,監視しながら財務確認,監視しながら財務確認,待ち,128.2,100,15.6,-2,11,4133,財務、材料、流動性,なし,BPS、EPS、現金、有利子負債、発行株数、直近決算、出来高,価格バックテストは良好です。財務、材料、流動性を確認してから候補化します
151.8,45,155A,"Information Strategy and Technology Co.,Ltd.",Growth Market(Domestic),Information & Communication,監視しながら財務確認,監視しながら財務確認,待ち,127.8,100,15.2,-1.6,72.3,896,出来高、材料、過熱感,なし,BPS、EPS、現金、有利子負債、発行株数、直近決算、出来高,高値更新型で強い値動きです。飛びつきではなく、出来高を伴う継続上昇かを確認します
151.7,46,4341,SEIRYO ELECTRIC CORPORATION,Standard Market(Domestic),Services,監視しながら財務確認,監視しながら財務確認,待ち,127.7,100,15.3,-1.9,10.2,864,財務、材料、流動性,なし,BPS、EPS、現金、有利子負債、発行株数、直近決算、出来高,価格バックテストは良好です。財務、材料、流動性を確認してから候補化します
151.6,47,6125,"OKAMOTO MACHINE TOOL WORKS,LTD.",Standard Market(Domestic),Machinery,監視しながら財務確認,監視しながら財務確認,待ち,127.6,100,16.2,-3.2,44.9,5680,財務、材料、流動性,なし,BPS、EPS、現金、有利子負債、発行株数、直近決算、出来高,価格バックテストは良好です。財務、材料、流動性を確認してから候補化します
150.3,49,9104,"Mitsui O.S.K.Lines,Ltd.",Prime Market (Domestic),Marine Transportation,監視しながら財務確認,監視しながら財務確認,待ち,126.3,100,17.6,-5.9,9.9,5328,出来高、材料、過熱感,なし,BPS、EPS、現金、有利子負債、発行株数、直近決算、出来高,高値更新型で強い値動きです。飛びつきではなく、出来高を伴う継続上昇かを確認します
150.2,50,543A,ARCHION Corporation,Prime Market (Domestic),Transportation Equipment,監視しながら財務確認,監視しながら財務確認,待ち,126.2,100,15.6,-3,-36.6,285,財務、材料、流動性,なし,BPS、EPS、現金、有利子負債、発行株数、直近決算、出来高,価格バックテストは良好です。財務、材料、流動性を確認してから候補化します
123.4,48,6999,KOA CORPORATION,Prime Market (Domestic),Electric Appliances,材料と過熱感を先に確認,監視しながら財務確認,待ち,127.4,100,15.1,-1.8,254.2,2908,財務、材料、流動性,急騰後,BPS、EPS、現金、有利子負債、発行株数、直近決算、出来高,価格バックテストは良好です。財務、材料、流動性を確認してから候補化します
